Series ID,Year,Period,Label,Value
LAUCT171400000000003,2001,M01,2001 Jan,6.4
LAUCT171400000000003,2001,M02,2001 Feb,6.4
LAUCT171400000000003,2001,M03,2001 Mar,6.7
LAUCT171400000000003,2001,M04,2001 Apr,6.7
LAUCT171400000000003,2001,M05,2001 May,6.3
LAUCT171400000000003,2001,M06,2001 Jun,7.1
LAUCT171400000000003,2001,M07,2001 Jul,6.7
LAUCT171400000000003,2001,M08,2001 Aug,6.9
LAUCT171400000000003,2001,M09,2001 Sep,6.6
LAUCT171400000000003,2001,M10,2001 Oct,6.9
LAUCT171400000000003,2001,M11,2001 Nov,7.3
LAUCT171400000000003,2001,M12,2001 Dec,7.5
LAUCT171400000000003,2002,M01,2002 Jan,8.8
LAUCT171400000000003,2002,M02,2002 Feb,8.5
LAUCT171400000000003,2002,M03,2002 Mar,8.6
LAUCT171400000000003,2002,M04,2002 Apr,8.8
LAUCT171400000000003,2002,M05,2002 May,8.5
LAUCT171400000000003,2002,M06,2002 Jun,9.2
LAUCT171400000000003,2002,M07,2002 Jul,9.1
LAUCT171400000000003,2002,M08,2002 Aug,8.6
LAUCT171400000000003,2002,M09,2002 Sep,8.1
LAUCT171400000000003,2002,M10,2002 Oct,8.2
LAUCT171400000000003,2002,M11,2002 Nov,8.3
LAUCT171400000000003,2002,M12,2002 Dec,8.1
LAUCT171400000000003,2003,M01,2003 Jan,8.7
LAUCT171400000000003,2003,M02,2003 Feb,8.3
LAUCT171400000000003,2003,M03,2003 Mar,8.2
LAUCT171400000000003,2003,M04,2003 Apr,8.0
LAUCT171400000000003,2003,M05,2003 May,8.2
LAUCT171400000000003,2003,M06,2003 Jun,9.3
LAUCT171400000000003,2003,M07,2003 Jul,8.8
LAUCT171400000000003,2003,M08,2003 Aug,8.6
LAUCT171400000000003,2003,M09,2003 Sep,8.3
LAUCT171400000000003,2003,M10,2003 Oct,7.7
LAUCT171400000000003,2003,M11,2003 Nov,7.6
LAUCT171400000000003,2003,M12,2003 Dec,7.2
LAUCT171400000000003,2004,M01,2004 Jan,8.0
LAUCT171400000000003,2004,M02,2004 Feb,7.6
LAUCT171400000000003,2004,M03,2004 Mar,7.8
LAUCT171400000000003,2004,M04,2004 Apr,7.6
LAUCT171400000000003,2004,M05,2004 May,7.5
LAUCT171400000000003,2004,M06,2004 Jun,8.0
LAUCT171400000000003,2004,M07,2004 Jul,7.9
LAUCT171400000000003,2004,M08,2004 Aug,7.6
LAUCT171400000000003,2004,M09,2004 Sep,7.3
LAUCT171400000000003,2004,M10,2004 Oct,7.3
LAUCT171400000000003,2004,M11,2004 Nov,7.3
LAUCT171400000000003,2004,M12,2004 Dec,7.0
LAUCT171400000000003,2005,M01,2005 Jan,7.5
LAUCT171400000000003,2005,M02,2005 Feb,7.8
LAUCT171400000000003,2005,M03,2005 Mar,7.2
LAUCT171400000000003,2005,M04,2005 Apr,7.5
LAUCT171400000000003,2005,M05,2005 May,7.4
LAUCT171400000000003,2005,M06,2005 Jun,7.7
